subspeciesname	Order	families	n_locations	n_sites	eoo	eoo_overlap	eoo_natura	eoo_wildlife	aoo	aoo_natura	aoo_wildlife	potentially_VU	potentially_EN	potentially_CR	paca	iucn	threatened	aoo_natura_percent
Blaps cretensis	Coleoptera	Tenebrionidae	17	34	5762.15605335928	4834.44057575979	1620.87606129596	358.553443730641	92.4355015066298	60.9313407081236	20.0544405940585	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.65918
Calathus oertzeni jeanne	Coleoptera	Carabidae	17	135	4718.91780986944	4168.88692221302	1333.99630465989	302.852255574748	144.467608536509	118.471522315838	21.1251966630265	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.82006
Carabus banoni	Coleoptera	Carabidae	63	407	14226.0492082031	8023.80935333498	2210.44252681348	560.445301352638	612.080709707049	297.181073434495	75.4343539462712	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.48553
Chaetopelma lymberakisi	Araneae	Theraphosidae	6	11	3540.05275830531	3380.30219231142	1351.03995392442	253.937376998136	32.1230492046258	25.5632622029764	1.20789237300021	TRUE	FALSE	FALSE	PT	VU	TRUE	0.79579
Dailognatha cylindritarsis	Coleoptera	Tenebrionidae	19	31	7692.04104201699	4660.58644135251	1637.26200793453	392.280415472293	112.124159942923	54.5245124025827	7.36962708487282	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.48629
Dailognatha quadricollis rugata	Coleoptera	Tenebrionidae	72	260	11963.0282754383	8017.0244902336	2187.16404916671	549.502516441921	672.290281159031	223.30307137106	75.6257659321456	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33215
Dendarus opacus	Coleoptera	Tenebrionidae	22	151	3296.71253624645	2331.18352153885	767.307092332868	126.450700455521	244.67295827565	168.372444750695	21.2511572320422	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.68815
Dysdera gigas	Araneae	Dysderidae	11	11	5741.19392444985	4685.08530490223	1495.76004330327	314.630350309694	44.1686840079865	11.9589995741972	3.00999862815991	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.27076
Euscorpius candiota	Scorpiones	Euscorpiidae	88	470	14933.6873970957	8208.94950025874	2277.26019957924	566.345728697524	955.817899579444	437.46125739159	112.129509365624	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.45768
Gryllomorpha cretensis	Orthoptera	Gryllidae	55	221	11656.2917996594	7179.8078248116	2043.87861693629	533.00801259459	420.172767817237	192.375642971198	62.7552031396143	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.45785
Harpactea coccifera	Araneae	Dysderidae	17	20	6063.56455385479	5400.45872036432	1747.73328919394	415.754205353847	83.9631226533761	29.8580686949412	7.63624068465889	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.35561
Megaphyllum cretica	Diplopoda	Julidae	33	85	9756.80732393922	6138.39979531992	1876.24104074545	431.377773955505	208.061147737264	112.166752424467	34.9200971502959	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.5391
Pogonocherus creticus	Coleoptera	Cerambycidae	3	3	525.92838949695	490.338582565102	86.5412393818654	28.6943784685181	12.0181644044366	2.62596629076474	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0.2185
Raiboscelis corvinus corvinus	Coleoptera	Tenebrionidae	48	156	12991.5708751912	8161.73200545913	2242.62343303547	587.256725472798	413.844961563704	205.107258652541	67.0724096820758	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.49561
Scolopendra cretica	Chilopoda	Scolopendridae	88	469	16325.4705788115	8246.79826588882	2284.09293219502	571.973930694488	947.999092322615	400.519150067896	115.928315265556	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.42249
Tapinopterus creticus	Coleoptera	Carabidae	47	367	10542.3856523896	6690.14355356864	2020.97272531325	464.783106997534	455.826229439718	257.422875447615	49.4255200042696	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.56474
Troglophilus spinulosus	Orthoptera	Rhaphidophoridae	58	273	12157.019184115	7647.14085615925	2137.01289384995	531.942204005235	427.865522797204	188.884490944601	67.3767109488487	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.44146
Zelotes daidalus	Araneae	Gnaphosidae	16	24	12052.4515310638	7802.44407651003	2161.27811865942	548.356705343272	92.0016093665463	33.5300973706292	9.29402062100593	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.36445
Hydraena subinura	Coleoptera	Hydraenidae	11	13	6508.07315952394	5834.83682431986	1882.33682348887	413.557178424055	51.989404429131	8.51492537233122	3.12702951144259	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.16378
Jekelius brullei creticus	Coleoptera	Geotrupidae	34	96	7183.2501722425	5908.88524159586	1814.73038700893	383.204245778112	248.830026001355	163.827695561255	45.1575843183653	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.65839
Malthonica minoa	Araneae	Agelenidae	16	20	7515.06280883672	5920.1524005242	1754.1601100428	399.546212017617	88.2535843034696	29.702808232968	6.21841788232758	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.33656
Zabrus oertzeni	Coleoptera	Carabidae	2	2	NA	NA	NA	NA	8.03059685721825	5.55298930743608	0	TRUE	TRUE	FALSE	LT	EN	TRUE	0.69148
Eupholidoptera latens	Orthoptera	Tettigoniidae	14	47	1188.93908667215	1107.15262344014	431.968438470465	72.3279506972359	148.371950628929	88.1642268120057	11.3638447133915	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.59421
Maimuna cretica	Araneae	Agelenidae	52	74	9303.93711960607	6897.92976433752	1897.59949372938	460.120857064473	309.056822604419	86.072418355515	20.7214187350256	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.2785
Platyderus jedlickai	Coleoptera	Carabidae	25	57	6286.7406398181	5544.26880649659	1661.09032210352	355.526564640018	140.036001191276	73.3051135688213	28.214794521706	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.52347
Tychus reitterianus	Coleoptera	Staphylinidae	23	37	3604.5963399928	3411.96212925242	1212.12979764789	181.512441752815	167.882240198242	65.4153653745877	10.7446542443074	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	0.38965
